"","Year","YS","YSP","Site","Point","Num_Trees","Dom_spp","Mean_DBH","Median_DBH","Max_DBH","Spp_maxDBH","Mean_decay","Num_live","Num_snags","Median_health","Num_2BI_Pl","Num_2BI_FD","Num_2BI_Sx","Perc_At","eff_HY","dist_to_cut","edge_near","cut","Spp","N_flg","NEST","type"
"8978",1999,"1999_RC","1999_RC_7037","RC","7037",4,"AT",33.025,31.75,44.7,"AT",1.75,4,0,"BI",0,0,0,0.75,1987,2551.25986796692,15,0,"EUST","U","99059_1999","selected"
"8979",1999,"1999_SC","1999_SC_7744","SC","7744",9,"AT",33.11111111,29.6,65.2,"FD",2.555555556,4,5,"BI",0,0,0,0.888888889,1988,2280.73507430697,7,0,"BCCH","U","99060_1999","selected"
"8980",1999,"1999_SP","1999_SP_7160","SP","7160",16,"AT",20.06875,19.15,32.6,"AT",2.6875,8,8,"BI",0,0,0,0.75,1991,224.485566202462,25,0,"RNSA","U","99061_1999","selected"
"8981",1999,"1999_7M","1999_7M_7752","7M","7752",14,"AT",29.17857143,29.95,43.9,"AT",2,10,4,"BI",0,0,0,0.714285714,1985,262.699154153646,10,0,"TRES","0","99062_1999","selected"
"8982",1999,"1999_SD","1999_SD_7284","SD","7284",41,"AT",21.87073171,21.3,32.9,"AT",2.292682927,22,19,"BI",0,0,0,0.975609756,1985,262.699154153646,10,0,"TRES","0","99062_1999","selected"
"8983",1999,"1999_CH98","1999_CH98_7613","CH98","7613",42,"AT",20.73809524,18.05,34.4,"PL",1.833333333,30,12,"HE",0,0,0,0.738095238,1985,1568.57049193408,20,0,"EUST","U","99063_1999","selected"
"8984",1999,"1999_YY","1999_YY_7143","YY","7143",36,"AT",19.425,18.05,45,"SX",1.805555556,29,7,"HE",0,0,1,0.657894737,1985,1840.48982836163,200,0,"MOCH","U","99064_1999","selected"
"8985",1999,"1999_CT","1999_CT_7718","CT","7718",41,"SX",23.16829268,21.8,46.3,"PL",1.731707317,33,8,"HE",1,0,2,0.219512195,1985,1575.04829600385,12,0,"MOCH","U","99065_1999","selected"
"8986",1999,"1999_CH98","1999_CH98_7612","CH98","7612",40,"AT",21.7175,20.85,34.4,"PL",1.875,28,12,"HE",0,0,0,0.675,1985,1575.04829600385,12,0,"MOCH","U","99065_1999","selected"
"8987",1999,"1999_SC","1999_SC_7104","SC","7104",10,"AT",24.02,24.8,34.2,"AT",3.2,4,6,"BI",0,0,0,1,1988,531.393466478669,5,0,"EUST","U","99066_1999","selected"
